,d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,FIPS_wikidata,State_wikidata
60,60,13105,GA,Elbert County,6,4197,Q492016,Q1428
61,61,51077,VA,Grayson County,9,2593,Q502207,Q1370
62,62,55077,WI,Marquette County,8,1781,Q500918,Q1537
63,63,47017,TN,Carroll County,6,4894,Q494905,Q1509
64,64,31039,NE,Cuming County,7,772,Q484470,Q1553
65,65,19015,IA,Boone County,6,2389,Q111235,Q1546
66,66,37075,NC,Graham County,9,1675,Q374968,Q1454
67,67,1089,AL,Madison County,2,47081,N/A,Q173
68,68,53073,WA,Whatcom County,3,32082,Q156623,Q1223
69,69,20167,KS,Russell County,7,1002,Q375143,Q1558
70,70,48395,TX,Robertson County,3,3097,Q26506,Q1439
71,71,12081,FL,Manatee County,2,47042,Q262708,Q812
72,72,18171,IN,Warren County,8,731,Q507321,Q1415
73,73,48123,TX,DeWitt County,6,3462,Q26712,Q1439
74,74,48133,TX,Eastland County,6,3475,Q156270,Q1439
75,75,26123,MI,Newaygo County,2,8101,Q74290,Q1166
76,76,21227,KY,Warren County,3,22037,Q506357,Q1603
77,77,5129,AR,Searcy County,9,1814,N/A,Q1612
78,78,12013,FL,Calhoun County,6,2742,Q174913,Q812
79,79,55035,WI,Eau Claire County,3,12783,Q484133,Q1537
80,80,22057,LA,Lafourche Parish,3,16447,Q507139,Q1588
81,81,19053,IA,Decatur County,9,1469,Q156634,Q1546
82,82,13195,GA,Madison County,3,4255,Q156387,Q1428
83,83,51097,VA,King and Queen County,1,960,Q337067,Q1370
84,84,28033,MS,DeSoto County,1,17819,Q339724,Q1494
85,85,21239,KY,Woodford County,2,3099,Q503442,Q1603
86,86,27141,MN,Sherburne County,1,5703,Q490427,Q1527
87,87,5067,AR,Jackson County,6,3587,N/A,Q1612
88,88,45065,SC,McCormick County,8,1538,Q505999,Q1456
89,89,31015,NE,Boyd County,9,283,Q484279,Q1553
90,90,38071,ND,Ramsey County,7,1556,Q48937,Q1207
91,91,55049,WI,Iowa County,2,2063,Q501582,Q1537
92,92,13263,GA,Talbot County,8,1447,Q498356,Q1428
93,93,26013,MI,Baraga County,9,1235,Q491140,Q1166
94,94,12059,FL,Holmes County,6,4276,Q488879,Q812
95,95,21063,KY,Elliott County,9,1998,Q400753,Q1603
96,96,42099,PA,Perry County,2,4082,Q501298,Q1400
97,97,54103,WV,Wetzel County,6,3023,Q501858,Q1371
98,98,26087,MI,Lapeer County,1,9324,Q115463,Q1166
99,99,6045,CA,Mendocino County,4,16366,N/A,Q99
100,100,19113,IA,Linn County,3,21613,Q485741,Q1546
101,101,54091,WV,Taylor County,6,2678,Q511095,Q1371
102,102,31045,NE,Dawes County,7,1366,Q485221,Q1553
103,103,40065,OK,Jackson County,5,4756,Q485030,Q1649
104,104,13181,GA,Lincoln County,8,1479,Q491519,Q1428
105,105,48167,TX,Galveston County,1,41747,Q26587,Q1439
106,106,38007,ND,Billings County,9,83,Q28321,Q1207
107,107,36091,NY,Saratoga County,2,14094,Q487605,Q1384
108,108,1103,AL,Morgan County,3,18457,N/A,Q173
109,109,46053,SD,Gregory County,9,655,Q495234,Q1211
110,110,1127,AL,Walker County,1,13097,N/A,Q173
111,111,27131,MN,Rice County,4,5673,Q490423,Q1527
112,112,28035,MS,Forrest County,3,18514,Q491221,Q1494
113,113,33015,NH,Rockingham County,1,12681,Q54438,Q759
114,114,25005,MA,Bristol County,1,58070,Q54082,Q771
115,115,48267,TX,Kimble County,7,848,Q26526,Q1439
116,116,13211,GA,Morgan County,6,2358,Q493083,Q1428
117,117,1105,AL,Perry County,8,3066,N/A,Q173
118,118,27053,MN,Hennepin County,1,132137,Q486229,Q1527
119,119,8035,CO,Douglas County,1,11114,N/A,Q1261
120,120,42039,PA,Crawford County,4,11832,Q494086,Q1400
121,121,45069,SC,Marlboro County,6,6743,Q512816,Q1456
122,122,48299,TX,Llano County,7,2701,Q110336,Q1439
123,123,53051,WA,Pend Oreille County,8,2103,Q485301,Q1223
124,124,48487,TX,Wilbarger County,6,1981,Q114339,Q1439
125,125,37191,NC,Wayne County,3,24889,Q506569,Q1454
126,126,51199,VA,York County,1,3417,Q506187,Q1370
127,127,27085,MN,McLeod County,6,2613,Q497984,Q1527
128,128,48335,TX,Mitchell County,7,1473,Q112442,Q1439
129,129,2050,AK,Bethel Census Area,7,4502,N/A,Q797
130,130,48291,TX,Liberty County,1,12164,Q26719,Q1439
131,131,28125,MS,Sharkey County,9,1567,Q497992,Q1494
132,132,6067,CA,Sacramento County,1,243760,N/A,Q99
133,133,51031,VA,Campbell County,3,7220,Q495171,Q1370
134,134,31053,NE,Dodge County,4,4131,Q490703,Q1553
135,135,48389,TX,Reeves County,7,2943,Q112550,Q1439
136,136,47103,TN,Lincoln County,6,5546,Q490322,Q1509
137,137,40019,OK,Carter County,5,7799,Q497854,Q1649
138,138,39085,OH,Lake County,1,19364,Q288606,Q1397
139,139,51195,VA,Wise County,7,8525,Q513982,Q1370
140,140,47077,TN,Henderson County,6,4777,Q495031,Q1509
141,141,31141,NE,Platte County,5,2920,Q496070,Q1553
142,142,6061,CA,Placer County,1,27340,N/A,Q99
143,143,13165,GA,Jenkins County,6,2606,Q389551,Q1428
144,144,49049,UT,Utah County,2,66112,Q27229,Q829
145,145,28161,MS,Yalobusha County,7,2812,Q486480,Q1494
146,146,34005,NJ,Burlington County,1,27083,Q138141,Q1408
147,147,17019,IL,Champaign County,3,36364,Q110187,Q1204
148,148,13061,GA,Clay County,9,1040,Q156580,Q1428
149,149,37053,NC,Currituck County,1,2616,Q511761,Q1454
150,150,17011,IL,Bureau County,6,3775,Q109518,Q1204
151,151,31109,NE,Lancaster County,2,35993,Q484530,Q1553
152,152,39141,OH,Ross County,4,13224,Q485528,Q1397
153,153,37107,NC,Lenoir County,4,11637,Q507907,Q1454
154,154,30019,MT,Daniels County,9,176,Q427315,Q1212
155,155,2110,AK,Juneau Borough,5,2334,N/A,Q797
156,156,47091,TN,Johnson County,6,4038,Q495067,Q1509
157,157,48143,TX,Erath County,7,7361,Q110500,Q1439
158,158,20161,KS,Riley County,5,11709,Q374890,Q1558
159,159,5077,AR,Lee County,6,2701,N/A,Q1612
160,160,27103,MN,Nicollet County,5,2490,Q490409,Q1527
161,161,1091,AL,Marengo County,7,5003,N/A,Q173
162,162,30063,MT,Missoula County,3,17206,Q496558,Q1212
163,163,48185,TX,Grimes County,6,4124,Q26616,Q1439
164,164,47167,TN,Tipton County,1,9698,Q474999,Q1509
165,165,26093,MI,Livingston County,1,10912,Q502732,Q1166
166,166,48259,TX,Kendall County,1,3119,Q115428,Q1439
167,167,56039,WY,Teton County,7,1680,Q488912,Q1214
168,168,5093,AR,Mississippi County,4,10307,N/A,Q1612
169,169,22019,LA,Calcasieu Parish,3,39035,Q504345,Q1588
170,170,48243,TX,Jeff Davis County,9,274,Q484535,Q1439
171,171,6027,CA,Inyo County,7,2184,N/A,Q99
172,172,48093,TX,Comanche County,7,2271,Q108952,Q1439
173,173,1001,AL,Autauga County,2,7444,N/A,Q173
174,174,19183,IA,Washington County,3,2161,Q386189,Q1546
175,175,8003,CO,Alamosa County,7,3816,N/A,Q1261
176,176,31087,NE,Hitchcock County,9,360,Q489663,Q1553
177,177,29061,MO,Daviess County,8,1357,Q485209,Q1581
178,178,26025,MI,Calhoun County,3,21973,Q137516,Q1166
179,179,9013,CT,Tolland County,1,9786,N/A,Q779
180,180,29069,MO,Dunklin County,7,8089,Q430938,Q1581
181,181,24041,MD,Talbot County,6,3827,Q511084,Q1391
182,182,13115,GA,Floyd County,3,14596,Q486389,Q1428
183,183,48401,TX,Rusk County,3,7461,Q110773,Q1439
184,184,1065,AL,Hale County,3,3495,N/A,Q173
185,185,54013,WV,Calhoun County,8,1586,Q490958,Q1371
186,186,48043,TX,Brewster County,7,1365,Q109160,Q1439
187,187,1029,AL,Cleburne County,8,2527,N/A,Q173
188,188,4005,AZ,Coconino County,3,23116,N/A,Q816
189,189,8023,CO,Costilla County,9,1128,N/A,Q1261
190,190,6075,CA,San Francisco County,1,87690,N/A,Q99
191,191,48019,TX,Bandera County,1,3138,Q108367,Q1439
192,192,17181,IL,Union County,7,2957,Q486458,Q1204
193,193,5087,AR,Madison County,2,2910,N/A,Q1612
194,194,51133,VA,Northumberland County,9,1632,Q505292,Q1370
195,195,8061,CO,Kiowa County,9,189,N/A,Q1261
196,196,48165,TX,Gaines County,7,2982,Q109836,Q1439
197,197,6007,CA,Butte County,3,43428,N/A,Q99
198,198,13213,GA,Murray County,3,7055,Q493074,Q1428
199,199,28111,MS,Perry County,3,2599,Q490219,Q1494
200,200,51169,VA,Scott County,3,4103,Q505834,Q1370
201,201,26003,MI,Alger County,9,1140,Q486210,Q1166
202,202,42063,PA,Indiana County,4,16198,Q494146,Q1400
203,203,37137,NC,Pamlico County,9,2230,Q507616,Q1454
204,204,37133,NC,Onslow County,3,23670,Q508220,Q1454
205,205,20091,KS,Johnson County,1,32380,Q374979,Q1558
206,206,39101,OH,Marion County,4,8673,Q489553,Q1397
207,207,12107,FL,Putnam County,4,15220,Q503059,Q812
208,208,28159,MS,Winston County,7,4070,Q486522,Q1494
209,209,8029,CO,Delta County,6,5300,N/A,Q1261
210,210,55111,WI,Sauk County,4,6381,Q500933,Q1537
211,211,18111,IN,Newton County,1,1666,Q367632,Q1415
212,212,12037,FL,Franklin County,6,2337,Q488813,Q812
213,213,27117,MN,Pipestone County,6,975,Q486191,Q1527
214,214,19045,IA,Clinton County,4,6272,Q111936,Q1546
215,215,37055,NC,Dare County,5,3909,Q295787,Q1454
216,216,37099,NC,Jackson County,6,8051,Q502521,Q1454
217,217,36103,NY,Suffolk County,1,111341,Q54065,Q1384
218,218,16039,ID,Elmore County,4,3531,Q486336,Q1221
219,219,30033,MT,Garfield County,9,181,Q486961,Q1212
220,220,5137,AR,Stone County,9,2697,N/A,Q1612
221,221,51009,VA,Amherst County,3,4340,Q470626,Q1370
222,222,41069,OR,Wheeler County,9,258,Q495356,Q824
223,223,5029,AR,Conway County,6,3903,N/A,Q1612
224,224,17097,IL,Lake County,1,59478,Q484263,Q1204
225,225,51125,VA,Nelson County,3,1865,Q515150,Q1370
226,226,48477,TX,Washington County,6,4641,Q156444,Q1439
227,227,53027,WA,Grays Harbor County,4,10437,Q493222,Q1223
228,228,35037,NM,Quay County,7,2044,Q489642,Q1522
229,229,48451,TX,Tom Green County,3,15144,Q113396,Q1439
230,230,42061,PA,Huntingdon County,6,5522,Q494077,Q1400
231,231,47123,TN,Monroe County,6,8753,Q495006,Q1509
232,232,27037,MN,Dakota County,1,23278,Q111694,Q1527
233,233,36049,NY,Lewis County,6,4191,Q115081,Q1384
234,234,6015,CA,Del Norte County,7,5842,N/A,Q99
235,235,8119,CO,Teller County,2,2278,N/A,Q1261
236,236,29149,MO,Oregon County,9,2640,Q484612,Q1581
237,237,29161,MO,Phelps County,5,8126,Q485631,Q1581
238,238,31181,NE,Webster County,9,447,Q489687,Q1553
239,239,8033,CO,Dolores County,9,271,N/A,Q1261
240,240,13011,GA,Banks County,8,2845,Q488201,Q1428
241,241,55019,WI,Clark County,8,4676,Q494958,Q1537
242,242,18005,IN,Bartholomew County,3,9336,Q504385,Q1415
243,243,17033,IL,Crawford County,6,2571,Q110510,Q1204
244,244,24037,MD,St. Mary's County,4,9977,Q511120,Q1391
245,245,31023,NE,Butler County,6,702,Q156500,Q1553
246,246,16025,ID,Camas County,9,106,Q486054,Q1221
247,247,38063,ND,Nelson County,8,333,Q48902,Q1207
248,248,37015,NC,Bertie County,9,4438,Q504335,Q1454
249,249,8014,CO,Broomfield County,1,3518,N/A,Q1261
250,250,56027,WY,Niobrara County,9,318,Q485641,Q1214
251,251,17163,IL,St. Clair County,1,39745,Q486507,Q1204
252,252,28121,MS,Rankin County,2,13745,Q490210,Q1494
253,253,36085,NY,Richmond County,1,62030,Q18432,Q1384
254,254,51185,VA,Tazewell County,7,7281,Q506197,Q1370
255,255,37167,NC,Stanly County,6,7733,Q507798,Q1454
256,256,20165,KS,Rush County,9,360,Q376776,Q1558
257,257,20043,KS,Doniphan County,3,989,Q376729,Q1558
258,258,54071,WV,Pendleton County,8,1126,Q490903,Q1371
259,259,55097,WI,Portage County,4,7684,Q500908,Q1537
260,260,19031,IA,Cedar County,6,1207,Q156475,Q1546
261,261,48251,TX,Johnson County,1,18049,Q113843,Q1439
262,262,49009,UT,Daggett County,8,84,Q111304,Q829
263,263,28007,MS,Attala County,6,4428,Q483862,Q1494
264,264,55027,WI,Dodge County,4,8012,Q372796,Q1537
265,265,28005,MS,Amite County,8,2951,Q112456,Q1494
266,266,47107,TN,McMinn County,4,8740,Q494636,Q1509
267,267,19153,IA,Polk County,2,50628,Q485808,Q1546
268,268,31169,NE,Thayer County,9,551,Q495719,Q1553
269,269,21215,KY,Spencer County,1,1601,Q503446,Q1603
270,270,5139,AR,Union County,5,7603,N/A,Q1612
271,271,54049,WV,Marion County,4,9690,Q504846,Q1371
272,272,8099,CO,Prowers County,7,2421,N/A,Q1261
273,273,13125,GA,Glascock County,9,539,Q477951,Q1428
274,274,21033,KY,Caldwell County,6,2523,Q491982,Q1603
275,275,31025,NE,Cass County,2,1920,Q484239,Q1553
276,276,20111,KS,Lyon County,5,5212,Q374442,Q1558
277,277,29171,MO,Putnam County,9,837,Q489886,Q1581
278,278,19069,IA,Franklin County,7,1157,Q486174,Q1546
279,279,8103,CO,Rio Blanco County,9,591,N/A,Q1261
280,280,21195,KY,Pike County,7,18486,Q496729,Q1603
281,281,29071,MO,Franklin County,1,10901,Q490383,Q1581
282,282,16067,ID,Minidoka County,7,3243,Q491052,Q1221
283,283,17065,IL,Hamilton County,7,1144,Q115337,Q1204
284,284,20061,KS,Geary County,5,4031,Q377148,Q1558
285,285,31017,NE,Brown County,9,401,Q485239,Q1553
286,286,39157,OH,Tuscarawas County,4,11525,Q421963,Q1397
287,287,39033,OH,Crawford County,4,5753,Q403777,Q1397
288,288,26141,MI,Presque Isle County,7,1852,Q502560,Q1166
289,289,54077,WV,Preston County,3,5455,Q495157,Q1371
290,290,26033,MI,Chippewa County,5,5278,Q491882,Q1166
291,291,51680,VA,Lynchburg city,3,12336,Q844012,Q1370
292,292,8053,CO,Hinsdale County,9,77,N/A,Q1261
293,293,6031,CA,Kings County,3,23247,N/A,Q99
294,294,46129,SD,Walworth County,7,810,Q494764,Q1211
295,295,2261,AK,Valdez-Cordova Census Area,9,852,N/A,Q797
296,296,39113,OH,Montgomery County,2,93949,Q485600,Q1397
297,297,42029,PA,Chester County,1,35349,Q27840,Q1400
298,298,21115,KY,Johnson County,7,5814,Q498104,Q1603
299,299,39093,OH,Lorain County,1,36828,Q251277,Q1397
300,300,21207,KY,Russell County,9,4361,Q373348,Q1603
301,301,54001,WV,Barbour County,7,3514,Q493599,Q1371
302,302,51019,VA,Bedford County,3,7445,Q494216,Q1370
303,303,36123,NY,Yates County,6,3340,Q56144,Q1384
304,304,51027,VA,Buchanan County,9,5274,Q495181,Q1370
305,305,39099,OH,Mahoning County,2,41625,Q485502,Q1397
306,306,1051,AL,Elmore County,2,10316,N/A,Q173
307,307,28049,MS,Hinds County,2,48244,Q486538,Q1494
308,308,55125,WI,Vilas County,9,2676,Q500813,Q1537
309,309,46101,SD,Moody County,8,676,Q495219,Q1211
310,310,13071,GA,Colquitt County,6,11252,Q113005,Q1428
311,311,19013,IA,Black Hawk County,3,20556,Q156628,Q1546
312,312,53001,WA,Adams County,6,3710,Q156273,Q1223
313,313,13117,GA,Forsyth County,1,12468,Q493092,Q1428
314,314,48137,TX,Edwards County,9,443,Q26595,Q1439
315,315,53017,WA,Douglas County,3,5260,Q156220,Q1223
316,316,46083,SD,Lincoln County,3,2007,Q495209,Q1211
317,317,48077,TX,Clay County,3,1345,Q109631,Q1439
318,318,45083,SC,Spartanburg County,2,45637,Q507488,Q1456
319,319,2013,AK,Aleutians East Borough,9,487,N/A,Q797
320,320,53009,WA,Clallam County,5,11110,Q156306,Q1223
321,321,17193,IL,White County,6,2246,Q488505,Q1204
322,322,18009,IN,Blackford County,6,1530,Q505272,Q1415
323,323,1063,AL,Greene County,3,2845,N/A,Q173
324,324,48195,TX,Hansford County,7,730,Q109646,Q1439
325,325,26009,MI,Antrim County,9,2686,Q490807,Q1166
326,326,48331,TX,Milam County,6,3959,Q26716,Q1439
327,327,22053,LA,Jefferson Davis Parish,6,5933,Q504355,Q1588
328,328,47187,TN,Williamson County,1,11292,Q501948,Q1509
329,329,13197,GA,Marion County,2,1975,Q486344,Q1428
330,330,51159,VA,Richmond County,9,1399,Q505854,Q1370
331,331,51193,VA,Westmoreland County,7,2581,Q494413,Q1370
332,332,37105,NC,Lee County,4,9869,Q507838,Q1454
333,333,47133,TN,Overton County,7,4066,Q494751,Q1509
334,334,5121,AR,Randolph County,7,3229,N/A,Q1612
335,335,5037,AR,Cross County,6,3252,N/A,Q1612
336,336,48131,TX,Duval County,7,2857,Q27037,Q1439
337,337,38015,ND,Burleigh County,3,6505,Q28283,Q1207
338,338,12065,FL,Jefferson County,2,2398,Q488859,Q812
339,339,40105,OK,Nowata County,6,1776,Q495918,Q1649
340,340,13103,GA,Effingham County,2,5949,Q156637,Q1428
341,341,16047,ID,Gooding County,7,2083,Q494575,Q1221
342,342,27089,MN,Marshall County,8,903,Q486248,Q1527
343,343,48371,TX,Pecos County,7,2376,Q114459,Q1439
344,344,48411,TX,San Saba County,7,1062,Q484586,Q1439
345,345,22043,LA,Grant Parish,3,4160,Q504450,Q1588
346,346,36037,NY,Genesee County,4,6475,Q115014,Q1384
347,347,46123,SD,Tripp County,7,928,Q426360,Q1211
348,348,18001,IN,Adams County,6,5271,Q351808,Q1415
349,349,18163,IN,Vanderburgh County,2,30462,Q505333,Q1415
350,350,49001,UT,Beaver County,9,572,Q109284,Q829
351,351,48155,TX,Foard County,9,207,Q110750,Q1439
352,352,5141,AR,Van Buren County,8,2737,N/A,Q1612
353,353,54057,WV,Mineral County,3,4156,Q510407,Q1371
354,354,21149,KY,McLean County,3,1619,Q503495,Q1603
355,355,18029,IN,Dearborn County,1,3988,Q509757,Q1415
356,356,26073,MI,Isabella County,5,15118,Q74628,Q1166
357,357,47111,TN,Macon County,1,4117,Q502072,Q1509
358,358,24025,MD,Harford County,1,17769,Q501284,Q1391
359,359,26039,MI,Crawford County,7,2892,Q382993,Q1166
360,360,48467,TX,Van Zandt County,6,7921,Q113834,Q1439
361,361,2158,AK,Kusilvak Census Area,9,3033,N/A,Q797
362,362,51063,VA,Floyd County,8,2129,Q502031,Q1370
363,363,29229,MO,Wright County,6,4355,Q284806,Q1581
364,364,39095,OH,Lucas County,2,83600,Q112107,Q1397
365,365,39035,OH,Cuyahoga County,1,223636,Q251267,Q1397
366,366,17179,IL,Tazewell County,2,11526,Q494560,Q1204
367,367,18131,IN,Pulaski County,6,1435,Q502640,Q1415
368,368,40141,OK,Tillman County,6,1689,Q489324,Q1649
369,369,28135,MS,Tallahatchie County,7,4430,Q490251,Q1494
370,370,51115,VA,Mathews County,1,880,Q336948,Q1370
371,371,12111,FL,St. Lucie County,2,51657,Q494564,Q812
372,372,30059,MT,Meagher County,9,322,Q491569,Q1212
373,373,41053,OR,Polk County,2,9681,Q495393,Q824
374,374,38053,ND,McKenzie County,9,981,Q280844,Q1207
375,375,34017,NJ,Hudson County,1,104660,Q490505,Q1408
376,376,48269,TX,King County,9,31,Q110764,Q1439
377,377,37065,NC,Edgecombe County,3,12514,Q118127,Q1454
378,378,18091,IN,La Porte County,3,16218,Q24648,Q1415
379,379,28085,MS,Lincoln County,6,6763,Q485896,Q1494
380,380,26023,MI,Branch County,6,6969,Q167580,Q1166
381,381,17187,IL,Warren County,7,2213,Q491021,Q1204
382,382,5071,AR,Johnson County,6,4699,N/A,Q1612
383,383,31139,NE,Pierce County,9,674,Q496003,Q1553
384,384,50005,VT,Caledonia County,7,3929,Q515205,Q16551
385,385,28103,MS,Noxubee County,7,3434,Q490215,Q1494
386,386,37063,NC,Durham County,2,47269,Q428298,Q1454
387,387,13231,GA,Pike County,1,2074,Q491533,Q1428
388,388,26017,MI,Bay County,3,15716,Q74704,Q1166
389,389,51073,VA,Gloucester County,1,3449,Q335121,Q1370
390,390,17131,IL,Mercer County,2,1581,Q491427,Q1204
391,391,56023,WY,Lincoln County,7,1631,Q484527,Q1214
392,392,18137,IN,Ripley County,6,3448,Q506547,Q1415
393,393,48341,TX,Moore County,6,2596,Q156464,Q1439
394,394,5143,AR,Washington County,2,34567,N/A,Q1612
395,395,27029,MN,Clearwater County,8,1432,Q486281,Q1527
396,396,47113,TN,Madison County,3,17777,Q494755,Q1509
397,397,29179,MO,Reynolds County,9,1397,Q489864,Q1581
398,398,35033,NM,Mora County,8,1130,Q487236,Q1522
399,399,46085,SD,Lyman County,9,860,Q495252,Q1211
400,400,13099,GA,Early County,6,3210,Q486757,Q1428
401,401,13253,GA,Seminole County,6,1948,Q498372,Q1428
402,402,6005,CA,Amador County,6,3846,N/A,Q99
403,403,18147,IN,Spencer County,8,1847,Q507281,Q1415
404,404,28063,MS,Jefferson County,7,2321,Q490884,Q1494
405,405,47131,TN,Obion County,7,5604,Q501974,Q1509
406,406,17027,IL,Clinton County,1,3330,Q110555,Q1204
407,407,13139,GA,Hall County,3,26561,Q492012,Q1428
408,408,46049,SD,Faulk County,9,298,Q495417,Q1211
409,409,38095,ND,Towner County,9,238,Q511510,Q1207
410,410,13085,GA,Dawson County,1,2373,Q492032,Q1428
411,411,46127,SD,Union County,3,981,Q495216,Q1211
412,412,48027,TX,Bell County,2,42739,Q108428,Q1439
413,413,13305,GA,Wayne County,6,6217,Q491762,Q1428
414,414,13023,GA,Bleckley County,6,2514,Q486843,Q1428
415,415,30049,MT,Lewis and Clark County,5,6858,Q496656,Q1212
416,416,50013,VT,Grand Isle County,3,609,Q1124720,Q16551
417,417,13153,GA,Houston County,3,22347,Q486362,Q1428
418,418,5113,AR,Polk County,7,4660,N/A,Q1612
419,419,37147,NC,Pitt County,3,36594,Q506220,Q1454
420,420,29041,MO,Chariton County,9,966,Q485062,Q1581
421,421,48275,TX,Knox County,9,781,Q110570,Q1439
422,422,40087,OK,McClain County,1,4137,Q495862,Q1649
423,423,29007,MO,Audrain County,6,4019,Q484776,Q1581
424,424,48391,TX,Refugio County,6,1128,Q26705,Q1439
425,425,20089,KS,Jewell County,9,363,Q374527,Q1558
426,426,45045,SC,Greenville County,2,53113,Q502273,Q1456
427,427,17045,IL,Edgar County,6,2350,Q484124,Q1204
428,428,21091,KY,Hancock County,3,1100,Q491991,Q1603
429,429,31037,NE,Colfax County,7,1005,Q484745,Q1553
430,430,48099,TX,Coryell County,2,8991,Q109785,Q1439
431,431,1061,AL,Geneva County,3,5495,N/A,Q173
432,432,17047,IL,Edwards County,9,715,Q112488,Q1204
433,433,13295,GA,Walker County,2,12349,Q498321,Q1428
434,434,51089,VA,Henry County,4,9333,Q505841,Q1370
435,435,32005,NV,Douglas County,4,4631,Q484398,Q1227
436,436,5135,AR,Sharp County,7,3610,N/A,Q1612
437,437,39007,OH,Ashtabula County,4,17202,Q336322,Q1397
438,438,8113,CO,San Miguel County,9,811,N/A,Q1261
439,439,12021,FL,Collier County,2,41076,Q488531,Q812
440,440,26117,MI,Montcalm County,6,9381,Q82603,Q1166
441,441,40121,OK,Pittsburg County,5,6007,Q495479,Q1649
442,442,8079,CO,Mineral County,9,68,N/A,Q1261
443,443,16075,ID,Payette County,6,3639,Q491432,Q1221
444,444,42069,PA,Lackawanna County,2,28739,Q501350,Q1400
445,445,28123,MS,Scott County,6,6303,Q485250,Q1494
446,446,29223,MO,Wayne County,9,3370,Q491406,Q1581
447,447,24510,MD,Baltimore city,1,128752,Q5092,Q1391
448,448,31047,NE,Dawson County,7,2966,Q490784,Q1553
449,449,42083,PA,Mc Kean County,7,6711,Q495640,Q1400
450,450,16021,ID,Boundary County,7,1973,Q486366,Q1221
